"","dr","sigma","n_dt","w","chisq"
"1",8.92463783389263e-06,0.0446287417507066,375.348312165213,0.547125825283422,801.997470051102
"2",1e-08,1e-04,10,5,2748
"3",2.43358897411734e-06,0.0258863225890978,211.962252211581,-1.51474000828745,1586.49831615984
"4",1e-08,1e-04,10,5,2730
"5",8.90524748887177e-06,0.0445317166862499,376.709385162792,0.556828331374761,1393.1772807238
"6",1e-08,0.0227081002153499,218.287876177249,-1.40614363763368,852.15945872433
"7",0.0102065980818961,0.0300585193326039,536.775431161929,1.69832255810101,1200.26701851386
"8",1.00004718209161e-08,0.0194228010402115,164.734408374189,2.34032930231997,1490.10717675775
"9",1e-08,1e-04,10,5,2758
"10",6.67054636889949e-06,0.033369406485614,203.349256542408,-1.65972491289599,1510.90061154394
